listing,price,brand,size
"Karl Lagerfeld Paris Maybelle Collection Graffiti In Paris Backpack Black NWT
          
      NWT",137.0,Karl Lagerfeld,OS
Louis Vuitton Monogram  Shoulder Bag in Brown,480.0,Louis Vuitton,OS
Calvin Klein Lavender Tote Bag with Chain Straps,47.0,Calvin Klein,OS
Dior John Galliano wallet,399.0,Dior,OS
Louis Vuitton Chaine Grelots Milticolor,600.0,Louis Vuitton,OS
"NWT Watermelon Print Crystal Clutch with Detachable Strap
          
      NWT",33.0,,OS
AUTH CHANEL BIARRITZ MM TOTE BAG IN BLACK,1349.0,CHANEL,"15”W, 11”H, 6”D"
Xhilaration Zebra‎ Print Small Wristlet,5.0,Xhilaration,OS
"Tumi Voyageur Carson Backpack - Ballistic Nylon Expandable 17"" Commuter
          
      NWT",160.0,Tumi,OS
Jessica McClintock Black Satin Rhinestone Clasp Floral Metalwork Chain Purse Bag,17.0,Jessica McClintock,OS
"Isabelle Vegan Friendly Leather Lead Free Studded Crossbody Handbag Black Gold
          
      NWT",30.0,Isabelle,OS
"Mini Backpack Cat & Jack   pink and white Plaid Sherpa Mini Backpack
          
      NWT",15.0,Cat & Jack,OS
Rosetti Floral Shoulder Handbag Purse‎ Hibiscus Colorful Pockets Tropical,20.0,Rosetti,OS
Vintage Y2K Coach Hampton Signature Pink Shoulder Bag (Style 6830),300.0,Coach,OS
#191 Louis Vuitton Tresor Damier Ebene Bifold Wallet,249.0,Louis Vuitton,OS
"UEC Kate Spade New York
JACKSON TRIPLE GUSSET         LEATHER CROSSBODY",165.0,kate spade,OS
Kate Spade Jackson Leather Zip Pouch,22.0,kate spade,OS
Coach‎ Brown Khaki Signature Wristlet bag Red Strawberry 🍓,45.0,Coach,OS
"Elliot Lucca Floral Tote Bag – Brand New-Roomy!
          
      NWT",40.0,Elliott Lucca,OS
Vera Bradley Purple Punch Gabby Tote Bag Quilted Cotton Floral Retired,46.0,Vera Bradley,Medium
"Tumi‎ Small travel bag, zipper closure",30.0,Tumi,OS
"⚠️Clearance Dusty Pink Slim Bifold Wallet / Cardholder
          
      NWT",12.0,,OS
"NEW VANNERA HelloMama™ Essential Crossbody
Bum",40.0,VANNERA HELLO MAMA,OS
Vintage 70s Dainty Black Silk Clutch with Gold Hardware Classic 10,18.0,Vintage,OS
Michael Kors Silver Log Shoulder Bag With Chain Detail,35.0,Michael Kors,OS
NWOT Radley London Pink Pebbled Leather Crossbody Bag – Gold Zip,199.0,RADLEY LONDON,OS
Madison West Whipstitch Boho Crossbody Saddle Bag with Adjustable Strap,22.0,Madison West,OS
"Kate Spade Natalia Burgundy Mini Convertible Leather Backpack
          
      NWT",175.0,kate spade,7.9''h x 6.5''w x 3.5''d
"Valentino Orlandi Crossbody Bag Purse Wallet Blue Silver Guitar Strap Adjustable
          
      Boutique",80.0,Valentino Orlandi,OS
Lug Guild Collection Ranger 2 Crossbody Bag And Wristlet Bargello Mountains Blue,80.0,lug,OS
Disney x house of sillage cosmetic bag,33.0,Disney,OS
Michael Kors Jet Set Travel Large Saffiano Leather Three Quarter Zip Wallet Red,45.0,Michael Kors,OS
Akaiv Snakeskin Crossbody,19.0,Akaiv,OS
ALO Yoga Explorer Convertible Pack | 3L Nylon Waist Bag,55.0,ALO Yoga,OS
Louis Vuitton Murakami Multicolor kiss lock With COA,350.0,Louis Vuitton,OS
Vera Bradley Trice Crossbody,50.0,Vera Bradley,OS
Anthropology Rachel Pally reversible clutch bag,12.0,Rachel Pally,OS
"Texas Tech Red Patterned Crossbody Bag
          
      NWT",65.0,Vera Bradley,OS
Kate spade convertible shoulder bag crossbody chain color block,129.0,kate spade,OS
"Sonia Kashuk Hot Pink Nylon Cosmetic Bag Makeup Luxury Designer Travel Essential
          
      NWT",20.0,Sonia Kashuk,OS
Coach Signature 7656 Hobo Shoulder Bag in beige canvas and Leather EUC Authentic,80.0,Coach,OS
Gucci Women's Abbey D Ring Handbag Canvas Leather Shoulder Bag White,248.0,Gucci,OS
COACH Charlie Signature Python Tote Style - Black.  Front snap pocket.,170.0,Coach,13”x12”
"Alo Sherpa tote
          
      NWT",400.0,ALO Yoga,OS
AUTHENTIC CHANEL VINTAGE BLACK CAVIAR LEATHER CC FLAP CONTINENTAL WALLET,399.0,CHANEL,OS
"Purse Pillows (Pack of 3)
          
      NWT",30.0,,"12""L x 8.5""T"
